id,date,message,views,forwards,pinned,media,reactions,replies
354528,2026-04-01 03:41:41+00:00,"Всем привет, народ на ям баллы которые продавцу в конце месяца за скидки они реально списываются за услуги или это миф и пыль в глаза?",,,False,,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👀'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=5881371972), date=datetime.datetime(2026, 4, 1, 3, 45, 41, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👀'), big=False, unread=False, my=False)], top_reactors=[])",2.0
354529,2026-04-01 03:50:27+00:00,"Здравствуйте, Виктор!

При взаимозачёте баллы Маркета автоматически уменьшают стоимость услуг размещения и продвижения, так чтобы стоимость услуги составила до 1% от суммы, но не менее 1 рубля за товар. Остаток неиспользованных баллов выплачивается вам в следующем месяце как премия по договору на размещение. Если баллов не хватает для покрытия услуг, разница списывается рублями.

Проверить списания баллов можно в самом заказе в разделе ""Начисления и услуги"", а также на странице ""Баллы Маркета"" либо в соответствующем отчёте ""По баллам"".

Уточним, что баллы в системе Маркета (1 балл = 1 рубль) начисляются как разница между ценой продажи на маркетплейсе и вашей установленной ценой, а также учитываются в составе вашей выручки",,,False,"MessageMediaWebPage(webpage=WebPage(id=8953082220474673235, url='https://yandex.ru/support/marketplace/ru/accounting/market-points', display_url='yandex.ru/support/marketplace/ru/accounting/market-points', hash=0, has_large_media=False, video_cover_photo=False, type='article', site_name='yandex.ru', title='Баллы Маркета |', description='Чтобы сделать ваши товары еще более привлекательными и повысить лояльность покупателей, Маркет может проводить акции совместно с продавцами. Если товар купят со', photo=None, embed_url=None, embed_type=None, embed_width=None, embed_height=None, duration=None, author=None, document=None, cached_page=None, attributes=[]), force_large_media=False, force_small_media=False, manual=False, safe=False)",,
354530,2026-04-01 04:17:20+00:00,Списывает. Это не миф. Если не хватает им они доберут рублями. Если будет излишек то выпишут вам как премия.,,,False,,,
354532,2026-04-01 04:29:27+00:00,"Доброе утро! Проверила товар по новому тарифу продажа по 300 рублей.  Получается минусовая маржа. Себестоимость 66 рублей, товар меньше литра.",,,False,,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='😢'), count=1, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='🤣'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=260979616), date=datetime.datetime(2026, 4, 1, 4, 37, 56, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='😢'), big=False, unread=False, my=False), MessagePeerReaction(peer_id=PeerUser(user_id=1750764186), date=datetime.datetime(2026, 4, 1, 4, 30, 55, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='🤣'), big=False, unread=False, my=False)], top_reactors=[])",0.0
354533,2026-04-01 04:30:29+00:00,У всех так?,,,False,,,8.0
354534,2026-04-01 04:33:51+00:00,68 себестоимость,,,False,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5359637951962356376, access_hash=-7248303444816186665, file_reference=b'\x02~\xc0\xb8\\\x00\x05h\xe6j\x04\xfa\xaa%\x95G\x03{{\x85\x8f6\x8e\xdc\x89\x81_\\X', date=datetime.datetime(2026, 4, 1, 4, 33, 51, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01 (\xd6\xc9\xcf\xff\x00Z\x97?\xe7\x14\x9d\xfbR\x8e\x94\x00~4\x1c\xd2\xff\x00\x9e\xb4\x7f\x9e\xb4\x00\x9e\x94Q\xda\x8a\x00o9\xef\xf9\xd3\x80=\xcd7<\xff\x00\xf5\xa9\xdcP\x02\xd2\x1e\x94\xbc{Rq\xed@\x07a\xd6\x8a(\xa0\x0f'), PhotoSize(type='m', w=320, h=260, size=16743), PhotoSizeProgressive(type='x', w=636, h=516, sizes=[3346, 8892, 21806, 33701, 49153])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",,
354535,2026-04-01 04:38:05+00:00,"Ничем не выгоднее продавать товар по 300 получается, вернее в убыток получится. Даже если себестоимость 66-68 рублей. В ОЗОНЕ не так.",,,False,,,0.0
354541,2026-04-01 04:53:13+00:00,Вы действительно под 5% маржинальности продаете? Не лень всем этим заморачиваться?,,,False,,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👍'), count=2, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=1096584199), date=datetime.datetime(2026, 4, 1, 18, 40, 18, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👍'), big=False, unread=False, my=False), MessagePeerReaction(peer_id=PeerUser(user_id=1750764186), date=datetime.datetime(2026, 4, 1, 5, 7, 54, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👍'), big=False, unread=False, my=False)], top_reactors=[])",
354543,2026-04-01 04:56:45+00:00,"нее, в плане не продаю. меньше 20ти нет смысла",,,False,,,
354545,2026-04-01 05:02:16+00:00,"Доброе утро. 
Не работает корректно таблица расходов маркета, не подтягивается товар в списке для расчета.",,,False,,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👀'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=5881371972), date=datetime.datetime(2026, 4, 1, 5, 16, 5, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👀'), big=False, unread=False, my=False)], top_reactors=[])",3.0
354546,2026-04-01 05:07:44+00:00,"20% дрр, равный стоимости товара?) вы ожидали другой результат увидеть? Ну и 7% за быстрые отгрузки учтите.
Покатушки за невыкупы в нем тоже бесплатные",,,False,,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👍'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=260979616), date=datetime.datetime(2026, 4, 1, 5, 9, 18, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👍'), big=False, unread=False, my=False)], top_reactors=[])",
354547,2026-04-01 05:14:15+00:00,Что за калькулятор ? Как найти ?,,,False,,,
354548,2026-04-01 05:14:15+00:00,Это у Вас в таблице автоматом подгружает данные ЯМ?,,,False,,,
354549,2026-04-01 05:19:29+00:00,"Яндекс маркет по какой причине старые категории товаров увеличились в цене, (старые категории на которых не было создания новых подкатегорий , которые так и остались  не тронутыми , но ценник сильно кратно вырос ) почему ?",,,False,,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='🔥'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=534282967), date=datetime.datetime(2026, 4, 1, 5, 26, 27, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='🔥'), big=False, unread=False, my=False)], top_reactors=[])",20.0
354551,2026-04-01 05:26:01+00:00,Под видом введение подкатегория просто подняли комиссии. Категории все те же! Высший пилотаж 👍🏼,,,False,,,1.0
