id,date,message,views,forwards,pinned,media,reactions,replies
2723,2026-03-30 15:44:44+00:00,"⭐️ С 1 апреля сменим названия ряда категорий

Как и рассказывали, некоторые категории разделим на более детализированные. Также изменим названия для ряда категорий — чтобы покупатели быстрее находили ваши товары.

Как изменятся названия категорий — смотрите в таблице 🔗

Если категории ваших товаров поменяются

Их наименования в карточках обновятся автоматически.

Рекомендуем не менять категории самостоятельно — до того, как завершится изменение категорий в личном кабинете. Это позволит избежать ошибок в карточках.

#каталог",5552.0,65.0,False,,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👎'), count=57, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='❤'), count=8, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='🔥'), count=6, chosen_order=None)], min=False, can_see_list=False, reactions_as_tags=False, recent_reactions=[], top_reactors=[])",13.0
2722,2026-03-27 14:40:25+00:00,,8041.0,26.0,False,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5345862376936380259, access_hash=2657733475712678548, file_reference=b'\x02VST\xae\x00\x00\n\xa2i\xcf\xc3O\x99\xb4.\xb7xx8""L-\xa35\r\x0c/I', date=datetime.datetime(2026, 3, 27, 12, 35, 24, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01((\xab\x08\x1eX\xcd\xb8\x7f}\xf8\xa6\xc9\x19r<\xb8vc\xaf\xcd\x9aX\xdd\x84@\x05\x8c\xfdS&\x9e$\x93\'\x0b\x10\xff\x00\x80R\xb1W\xd0\x87\xec\xf2\xff\x00w\xf5\xa5\x92\xd6h\xd3{\xa6\x14w\xc8\xa9|\xc92>X\xbf\xef\x8f\xfe\xb52F\x91\x93f\xc5\xc7\xa8^i\x89\xd8\xafE\x1d(\xa6""h\xff\x00\xd5\xf5_\xc7\x14\xac@\xeaW\xf2\xa2$R\x9c\x80\x7f\x1aq\x8dG\xf0\x8f\xa6i\x0cf\xf5\xf5\x1f\xf7\xcd\x05\x90\xf5\xc7\xe5K\xe5\x8f\xee\x0f\xce\x8c \xe0\xa7\xebLD$\x82x\x18\xa2\x9c\xe0\x0e\x82\x8a\x00T\x97j\xe3\x19\xa7y\xff\x00\xec\x8f\xd6\x8a(\x01\x0c\xa0\xf5Z<\xc1\xfd\xda(\xa4\x17\x18\xcd\x9a(\xa2\x98\x1f'), PhotoSize(type='m', w=320, h=320, size=29770), PhotoSize(type='x', w=800, h=800, size=108459), PhotoSizeProgressive(type='y', w=1280, h=1280, sizes=[12964, 35701, 63678, 88764, 137440])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",,
2721,2026-03-27 14:40:25+00:00,,8048.0,27.0,False,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5345862376936380258, access_hash=-4193900901566427965, file_reference=b'\x02VST\xae\x00\x00\n\xa1i\xcf\xc3O\xcf\xe4\xfdm\xc1N\xc2\xf8\xe1\r\xf2\xb4\xa1\x07{\x92', date=datetime.datetime(2026, 3, 27, 12, 34, 58, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01((\xab\x10_,f\xdc9=\xf7\xe2\x92X\xcb\x11\xb2\x10\x9f\xf0,\xe6\x96)\x1cF\xa0,x\xf5)\x93\xd6\x9d\xe6?\xf7!\xff\x00\xbe)X\xab\xab\x10\x18d\x00\x92\xbc\x0fz\x8e\xad\x89d\xcf\xdd\x8b\xfe\xf8\xff\x00\xebR\x07p\xa3\xe4\x84\x8f]\x9f\xfdjb*\xd1O\x90\x10\xc4\x91\x8c\x9e\xc3\x8a)\x88r\x82T`\x1f\xc0\n?y\xcf\x1f\xa0\xa9!\xff\x00V8\xcf\xf9\xfaS\xf1\xec\x7f\xcf\xe1@\x15\xb69?v\x93czU\x8e=\x0f\xf9\xfc(\xda\x0f\\\xfe\x7f\xfdjC\xb1X\x82:\xd1O\x97\x1d\xbaQLC\xa3p\x13\x04\x8f\xca\x9f\xe6\xaf\xfb?\x95\x14R\x18\x9eh\x1d6\xfeT\xd6\x907\xa5\x14P\x03\x1c\x82(\xa2\x8ab?'), PhotoSize(type='m', w=320, h=320, size=29594), PhotoSize(type='x', w=800, h=800, size=111700), PhotoSizeProgressive(type='y', w=1280, h=1280, sizes=[13478, 37337, 64968, 90792, 141390])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",,
2720,2026-03-27 14:40:25+00:00,,8017.0,26.0,False,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5345862376936380252, access_hash=-1036754762060908699, file_reference=b""\x02VST\xae\x00\x00\n\xa0i\xcf\xc3O\xc6\x0e!'4\x1e\xdf\xff\xa26\xcfvx\xf6\xe3\xb6"", date=datetime.datetime(2026, 3, 27, 12, 34, 32, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01((\xab\x08\x1eX\xcd\xb8\x7f}\xf8\xa4\x96""\xe4l\x84&?\xda\xcd\x11\xbb\x88\xd4\x05\x8f\x03\xb9L\x9ay\x92B\x0f\xcb\x0f\xfd\xf1\xff\x00\xd6\xa5b\xae\xacA\xe4\xc9\x9cc\xf5\xa4h]\x17s\x0c\x0f\xadX\xf3\\\x11\x94\x87\xfe\xf8\xa8\xe4\r#n;G\xb0\x04S\xd4Z\x10QOh\xf6\x8c\x92?Z)\x88|q\x96L\x86\x02\x9d\xe5\xb6>\xf8\xfc\xa9\x91\xb1\n0\x01\xfci\xdb\xcez/\xe7@\xc3\x1f\xf4\xd0~_\xfdjM\x9f\xf4\xd0~T\xbb\xcf\xf7G\xfd\xf5I\xbd\x8f8\x1f\x98\xa4\x03\x1cQH\xed\xba\x8ab\x1e\x8e\x02\x00O\xf9\xfc\xe9K\x8c\xf5\xfd\x7f\xfa\xf4Q@\x01\x90t\xc9\xff\x00?\x8d!\x90\x11\x83\x93\xf5\xff\x00\xf5\xd1E\x00EE\x14P\x07'), PhotoSize(type='m', w=320, h=320, size=32811), PhotoSize(type='x', w=800, h=800, size=122437), PhotoSizeProgressive(type='y', w=1280, h=1280, sizes=[13657, 38500, 71347, 101220, 155771])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",,
2719,2026-03-27 14:40:25+00:00,"Автоматическое создание документов реализации, детализация цен и другие новости интеграций

Продолжаем разрабатывать инструменты, которые позволят вам отказаться от ручной обработки товаров и документов. Какие функции появятся после обновления интеграций, кому помогут и как их подключить, рассказали в карточках.

Если ещё не работаете с API или нашим модулем 1С, самое время попробовать. А подробнее о возможностях интеграций читайте в канале API Яндекс Маркета 🔗

#api_и_модули",7570.0,28.0,False,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5345862376936380250, access_hash=1955324650062998034, file_reference=b'\x02VST\xae\x00\x00\n\x9fi\xcf\xc3O\xa7\xffD:UV@\xd3M+\x99Y\x8c\x83\x90|', date=datetime.datetime(2026, 3, 27, 12, 33, 41, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01\x17(\xab\x1cNP\x10"" \x8e\xe4S%\x81\xd4\x16&<\x0f\xee\xb0\xa5[\xc9\xd1\x02\x07\xe0p8\xe9Q\xc9#\xca\xd9s\x93L\x01""y>\xe2\x16\xc7\xa0\xa5x^1\x96FQ\xee*A$\xb0\xa0T\xf98\xed\xde\x9a\xf2\xcd0\n\xcc[\xbd-G\xa1\r\x15!\x8c\xf3\x9c.\x06y\xe2\x8ab#\xa5\x14Q@\x0e\xde\xc1J\xe7\xe5=E\n\xc4\x1c\xa9 \xfa\xd1E\x00\r#7\xde$\xfdh\xa2\x8a\x00'), PhotoSize(type='m', w=320, h=180, size=9516), PhotoSize(type='x', w=800, h=450, size=34377), PhotoSizeProgressive(type='y', w=1280, h=720, sizes=[5946, 13174, 21185, 29083, 45484])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)","MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👎'), count=24, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='❤'), count=11, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='👍'), count=9, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='🔥'), count=2, chosen_order=None)], min=False, can_see_list=False, reactions_as_tags=False, recent_reactions=[], top_reactors=[])",4.0
2718,2026-03-27 08:02:53+00:00,,5935.0,19.0,False,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5343758083479508689, access_hash=-7591668143329376993, file_reference=b'\x02VST\xae\x00\x00\n\x9ei\xcf\xc3O\x97\x9fh\x84\t[\x85\x1d\x0c\x13\x90w\xd0\xe4k\xf6', date=datetime.datetime(2026, 3, 26, 13, 44, 11, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01( \xd2\x7f;q\xd9\xb7ol\xd0\xbe~\xe1\xbbn\xde\xf4\xb2y\x9f\xc3\x801\xd6\xa3\xfd\xe9\xc0;\x80\xc1\xe6\x86\xcaJ\xe5\x9a)\x91\x96 \xee\x1c\xd3\xe9\x92\xf4#r\xa0\x9c\xee\xfc\t\xa0m?\xdf\xfc\xcd,\x99\xc1\xc0&\xa2\xda\xff\x00\xdd?\xe7\xf1\xa0\t\x83\x00;\xd0\x1b&\xa3P\xc3\x8d\xa7\x1fJz\x83\x9a\x00q'\xb0\xa3\x9fJ(\xa0\x03\x9fj9\xa2\x8a\x00""), PhotoSize(type='m', w=256, h=320, size=12804), PhotoSize(type='x', w=640, h=800, size=43101), PhotoSizeProgressive(type='y', w=1024, h=1280, sizes=[7518, 16142, 26508, 36156, 56729])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",,
2717,2026-03-27 08:02:53+00:00,,6251.0,18.0,False,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5343758083479508688, access_hash=-3829758540128808765, file_reference=b""\x02VST\xae\x00\x00\n\x9di\xcf\xc3Oa\xc95\xb6c\xea\x01a[jEZWK)'"", date=datetime.datetime(2026, 3, 26, 13, 44, 10, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01( \xd3o;\xcc\xf9v\xec\xfdi\x80\xdc\xe7\x90\x86\xa4}\xf9\xff\x00g\x15\x10\xf3\x0fr8\xa1\xb2\x92\xb8\xe3\xf6\x8cq\xb74\xa9\xe7y\x9f6\xdd\xb4\xf8\xcb\x10w\x0c\x1a}2^\x84nT\x13\x9d\xdf\x814\x83i\xfe\xf7\xe6i\\\x1c\x1c\n\x8fk\xff\x00t\xff\x00\x9f\xc6\x80&\x0c\x00\xef@l\x9a\x8c\x07\xe9\x8c~\x1f\xfdzz\x83\x9a\x00q'\xb0\xa3'\xd2\x8a(\x00\xe7\xda\x8eh\xa2\x80?""), PhotoSize(type='m', w=256, h=320, size=14632), PhotoSize(type='x', w=640, h=800, size=47924), PhotoSizeProgressive(type='y', w=1024, h=1280, sizes=[8128, 17872, 29618, 40730, 63273])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",,
2716,2026-03-27 08:02:53+00:00,,6218.0,19.0,False,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5343758083479508687, access_hash=1313516665573011619, file_reference=b'\x02VST\xae\x00\x00\n\x9ci\xcf\xc3O\xf3\xdc\x18\x89\x88\xc0\x83\x02v\n\xe5\x07\xb8;=\xcb', date=datetime.datetime(2026, 3, 26, 13, 44, 10, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01( \xd3\x7f;w\xc9\x82)\xbf\xe9\x18\xe8:w\xa7\xb9\x93?(\x04c\xf5\xa8\x87\x9av\x83\xb8py\xa1\xb2\x92\xb8\xbf\xe9>\x89\x9a\xb1L\x8c\xb1\x07p\xe6\x9fL\x97\xa1\x1b\x95\x04\xe7w\xe0M\x03i\xfe\xff\x00\xe6h|\xe0\xe0T{_\xfb\xa7\xfc\xfe4\x010`\x07z\x03d\xd4`?Lc\xf0\xff\x00\xeb\xd3\xd4\x1c\xd0\x03\x89=\x85\x19>\x94Q@\x07>\xd4sE\x14\x01'), PhotoSize(type='m', w=256, h=320, size=13724), PhotoSize(type='x', w=640, h=800, size=45799), PhotoSizeProgressive(type='y', w=1024, h=1280, sizes=[7872, 17072, 28185, 38635, 60256])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",,
2715,2026-03-27 08:02:53+00:00,,5071.0,20.0,False,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5343758083479508686, access_hash=-8494498354509769169, file_reference=b'\x02VST\xae\x00\x00\n\x9bi\xcf\xc3OQ-6D\xeb\xb4\xf9\xf6M\x08""""=\xf63&', date=datetime.datetime(2026, 3, 26, 13, 44, 9, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01( \xd3\x7f;q\xd9\x8cc\xbd \xf3\xfb\x85\xa7>\xfc\xfc\xbd0~\xb4\xc1\xe6\x11\x90H#\x1c\x11\xd6\x8b\x8d!\xc9\xe7n\x1b\xf6\xe3\x1c\xe2\xa5\xa6\xc6IA\x90A\xf7\xa7S\x11\x1b\x95\x04\xe7w\xe0M\x03i\xfe\xf7\xe6hpH8\x15\x1e\xd7\xfe\xe9\xff\x00?\x8d\x00L\x18\x01\xde\x80\xd95\x18\x0f\xd3\x18\xfc?\xfa\xf4\xf5\x074\x00\xe2OaFO\xa5\x14P\x01\xcf\xb5\x1c\xd1E\x00\x7f'), PhotoSize(type='m', w=256, h=320, size=13363), PhotoSize(type='x', w=640, h=800, size=44634), PhotoSizeProgressive(type='y', w=1024, h=1280, sizes=[7703, 16569, 27433, 37594, 58781])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",,
2714,2026-03-27 08:02:53+00:00,,5415.0,20.0,False,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5343758083479508685, access_hash=-6941045899293338007, file_reference=b'\x02VST\xae\x00\x00\n\x9ai\xcf\xc3O\xdcG\xb5\xa4/\x18@{\x83\x13L\x92d\x97\xfaF', date=datetime.datetime(2026, 3, 26, 13, 44, 9, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01( \xd2\x7f;y\xd9\xb7ol\xd0\xbe~\xe1\xbbn\xde\xf4\xe7\xf33\xf2\xf4\xc1\xfa\xd3\x07\x99\xd8\x9e1\xd6\x8b\x8d""z)\xb1\x92Pd\x10}\xe9\xd4\xc4F\xe5A9\xdd\xf8\x13@\xda\x7f\xbf\xf9\x9aV\x04\xf4\xa6\xf9m\xea(\x01\xe1\x80\x1d\xe8\r\x93L\x08\xc0c#\xf2\xa7( \xf3@\x0e$\xf6\x14d\xfaQE\x00\x1c\xfbQ\xcd\x14P\x07'), PhotoSize(type='m', w=256, h=320, size=11548), PhotoSize(type='x', w=640, h=800, size=39996), PhotoSizeProgressive(type='y', w=1024, h=1280, sizes=[7205, 14966, 24358, 33093, 52028])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",,
