id,date,message,media,views,forwards,pinned,reactions,replies
2694,2026-02-27 13:46:35+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5264974287188203155, access_hash=-5454552855414622478, file_reference=b'\x02VST\xae\x00\x00\n\x86i\xc2w/\xe5\xe8MWb\xceS\x16\x81\xfej_\x0bI\xbb\xc2', date=datetime.datetime(2026, 2, 27, 13, 37, 38, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01((T0\x85\x1b\xd0\x93J\x1a\xdf'1\x9cv\xc1\xa6\xa9\xc2\x8f\x9c\x8f\xc2\x82\xe4\x0e$'\xf0\xac.wXvm\xf0>F\xcfp*\xb9\xa7\xb3\x1c\xe41&\x98i\r+\tE-\x14\x0c\x9dd\xda1\x8f\xd6\x83.{\x1f\xce\x99IE\xc3\x95\x0f2\x9cq\x90~\xb4\xc7r\xe0g\xb7\xbd%%\x17\x0b!(\xa5\xa2\x81\x92b\x93\x1e\xf4QH\x03\x1e\xf4\xdc{\xd1E\x00\x04QE\x14\xc0""), PhotoSize(type='m', w=320, h=320, size=16207), PhotoSize(type='x', w=800, h=800, size=59501), PhotoSizeProgressive(type='y', w=1280, h=1280, sizes=[10683, 23547, 35480, 45824, 73809])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",9818.0,35.0,False,,
2693,2026-02-27 13:46:35+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5264974287188203154, access_hash=-3814659854852279825, file_reference=b'\x02VST\xae\x00\x00\n\x85i\xc2w/\x08\xa4Is\xa1AD\x97\xaa\xa5\xd7\xeeA\xb8\x00\xd1', date=datetime.datetime(2026, 2, 27, 13, 37, 38, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01((\x9e8\xd1\xa2\x07\xcb$\xf4\xce\x7f\xfa\xf4\xef*?\xf9\xe4\x7f?\xfe\xbd@\xa7\xe5\xfb\xcc>\x94\xbb\x80\xe3{\xe2\xb0\xb9\xd8\xd3\xee>[rq\xb22=rj\xb1\xe2\xa5,s\xf7\xdf\x15\x19\xeb\xd6\x93*7\xea%\x14QH\xb1\xe1\x98\x0c\x02G\xe3Af=I?\x8d%\x14\n\xc8\x0eOS\x9a(\xa2\x90\xc4\xa2\x96\x8a`-\x1f\x8d\x14R\x00\xfch\xa2\x8a\x00J(\xa2\x80?'), PhotoSize(type='m', w=320, h=320, size=13778), PhotoSize(type='x', w=800, h=800, size=51775), PhotoSizeProgressive(type='y', w=1280, h=1280, sizes=[9834, 20758, 30140, 38441, 62791])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",12158.0,35.0,False,,
2692,2026-02-27 13:46:34+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5264974287188203153, access_hash=587241890383214127, file_reference=b'\x02VST\xae\x00\x00\n\x84i\xc2w/>G5\x97_\xd3J\xae\x08\x85\x8d\xec*\xf0Y_', date=datetime.datetime(2026, 2, 27, 13, 37, 37, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01((\x91\x0c!\x06\xe4%\xbb\xd2\x96\x83o\x08s\xfe}\xe9\x106\xce\x18\x8f\xc2\x83\xb8\x7f\x11\xfc\xab\x03\xb2\xda\x8b\xba\x0c}\xc3\x9f\xadG&\xc2\xdf  {\xd3\x9c\x91\x91\xbc\x93\xf4\xa6d\xe3\x19\xa4\xcaK\xa8\x94QEIc\xd5r>\xe0?\x8d.\xdf\xf6\x07\xfd\xf5L\x0c\x00\xe5s\xf8\xd2\xee_\xee~\xb4\xc9\xd4R\xbc\x1f\x90\x7f\xdfT\x87\xee\x8e\x07\xd74n_\xee~\xb4\x99\x18\xe9@!(\xa2\x8aE\x0bG\xe3E\x14\x00~4QE\x00%\x14Q@\x1f'), PhotoSize(type='m', w=320, h=320, size=19953), PhotoSize(type='x', w=800, h=800, size=75682), PhotoSizeProgressive(type='y', w=1280, h=1280, sizes=[11125, 28591, 44426, 58136, 94042])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",12346.0,35.0,False,,
2691,2026-02-27 13:46:34+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5264974287188203152, access_hash=5189608893745581696, file_reference=b""\x02VST\xae\x00\x00\n\x83i\xc2w/\xd2\x0e\x97e'h\x8f\xb8>w\xd0\xa8\x1ag7\xd2"", date=datetime.datetime(2026, 2, 27, 13, 37, 37, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01((j\x18\x02.\xf5b\xdd\xfd\r<\xb5\xa6?\xd5\xb7\xe7\xff\x00\xd7\xa4\x8c1Q\x87#\xf0\xa3k\xf7s\xf9V'c\x105\xae\x06\xe8\xce}\xbf\xfdt\xc9\xcc\x05?t\x8c\x0e{\xd0ZB\x0f9\x15\x19c\x8cg\x8a.5\x123E-\x14\x16Y]\x9bFq\x9f\xa9\xa3\xf7~\x83\xf3?\xe1J\x99\xda>R\x7f\x00i[ \x7f\xaba\xf5Q\xfe\x14\x89#;6\x9c\x00\x0f\xe3Q\xd4\xa5\x88\x19\n\x00\xff\x00tTg\x93@\xd0\xc3E-\x14\x0c\x97\xf1\xa4\xfch\xa2\x90\t\x8fzL{\xd1E\x00\x04QE\x14\xc0""), PhotoSize(type='m', w=320, h=320, size=23851), PhotoSize(type='x', w=800, h=800, size=87304), PhotoSizeProgressive(type='y', w=1280, h=1280, sizes=[13116, 32744, 51864, 67913, 106711])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",10423.0,35.0,False,,
2690,2026-02-27 13:46:34+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5264974287188203151, access_hash=-3986255514402250837, file_reference=b'\x02VST\xae\x00\x00\n\x82i\xc2w/{e\x8f\x7fM\x81\xc3+\xd7\x0f\xafi\xebU68', date=datetime.datetime(2026, 2, 27, 13, 37, 36, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01((r\x18B\x00\xe8s\xea)\xd9\xb6\'\xee0\xa6+a@\xdeG\xe1H\\\xe7\xef\x9c}+\x0b\x9d\xbc\xa3\xc1\xb6\xcf*x\x1f\x9d2S\x01C\xe5\xa3\x06\xf7\xa6\x99\x1b?z\x9aKc\x04\x9a.5\x11\xb4QE""\x89\xd4\xe1G\xce\xc3\xdb\x14\xbb\x8e?\xd67\xe5L\x0c\xc0`\x12\x05&N1\x93\x8a.+\nX\x90F\xe6#\xb50\x92z\x9aZJ\x07a(\xa2\x8a\x06IF=\xe8\xa2\x90\t\x8fzL{\xd1E\x00\x04QE\x14\x01'), PhotoSize(type='m', w=320, h=320, size=17650), PhotoSize(type='x', w=800, h=800, size=65320), PhotoSizeProgressive(type='y', w=1280, h=1280, sizes=[11175, 25383, 38613, 49925, 80114])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",10598.0,35.0,False,,
2689,2026-02-27 13:46:34+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5264974287188203150, access_hash=2766194132117852920, file_reference=b'\x02VST\xae\x00\x00\n\x81i\xc2w/i\x0b\x91\xed\xfc\xb6a\x8a0\x9a\xb3A\xcd\xd7\x1b\xc6', date=datetime.datetime(2026, 2, 27, 13, 37, 36, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01((\x923\x06\xc1\xbd\toZI\x0c%~E \xe6\x91[\x0b\xf7\xf1\xed\x8a]\xdf\xed\x9c}+\x9c\xed\xb6\xa4t\x95&G\xf7\xcf\xbf\x14\xd2\x17\xb1'\xf0\xa4]\xc6QJ}\xa8\xa0d\x8ap>\xf9\x1f\x85\x19\x19\xce\xf6\xfc\xa9\xa1\x98\x0e\x18\x8f\xc6\x97{\x7fx\xfet\\\x9b\x06\x17\xfb\xc7\xf2\xa4!s\xd4\x9f\xc2\x8c\x9fS\xcd%\x03\xb0\x1cg\x8e\x94QE\x03\x16\x8f\xc6\x8a)\x00~4QE\x00%\x14Q@\x1f""), PhotoSize(type='m', w=320, h=320, size=16096), PhotoSize(type='x', w=800, h=800, size=61359), PhotoSizeProgressive(type='y', w=1280, h=1280, sizes=[10039, 23517, 35790, 46386, 75629])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",10463.0,35.0,False,,
2688,2026-02-27 13:46:34+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5264974287188203149, access_hash=230897642067787165, file_reference=b'\x02VST\xae\x00\x00\n\x80i\xc2w/\xf9\x1f\x10\x89u*\x9bJ\x8b\x17\\`\xea\xf0\x12\xd7', date=datetime.datetime(2026, 2, 27, 13, 37, 36, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01(([x#x\x01h\x8b1\x07\x07=y\xfa\xd2K\x04[N\xc8\xca\x93\xd3'\xa7?_\xf3\x9a\x80\x1c'\xdfp}\x07JB\xed\x8f\xbf&~\xb5\x95\xce\xceW}\xcb-\x04 n\xf2\x1b\x00d\xfc\xde\xdf_\xa5P}\xbb\xce\xcc\xed\xcf\x19\xebN\xdc\xfd2\xdc\xf1\x8c\xd3\x08 \xf3@\xe2\xac\x14QE\x05\x16\x94\x90\xa3\r \xfat\xa6\x96|}\xe93\xf5\xa5\x0c\x02\xe3,>\x86\x8d\xc3\x1fzJB\xb1\x1b\x19:\x92\xdf\x8d1\x83g-\x9f\xc6\xa4f\xca\x9eX\x9f\xad0\x92z\x9c\xd01\x94R\x9a)\x81>=\xe9\xb8\xf7\xa2\x8a\x91\x89\x8fzB=\xe8\xa2\x80\x1aG\xbd\x14QLG""), PhotoSize(type='m', w=320, h=320, size=20859), PhotoSize(type='x', w=800, h=800, size=74642), PhotoSizeProgressive(type='y', w=1280, h=1280, sizes=[12277, 28302, 44168, 57562, 90160])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",9605.0,34.0,False,,
2687,2026-02-27 13:46:34+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5264974287188203173, access_hash=-2158352537639156979, file_reference=b'\x02VST\xae\x00\x00\n\x7fi\xc2w/\x073d4\xd9\xa3\xd8=)\xc7\xdd\xf9G\xa0G\x81', date=datetime.datetime(2026, 2, 27, 13, 43, 44, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01((#0\x04\x1eb\x12\xdd\xcd\x01\xad\xf3\xccg\x19\xech@\xdb\x06\x1c\x81\xf4\xa3$.\xef0\xfeU\x89\xda6C\x01C\xb1\x08n\xd9\xa81S\x97\xff\x00\xa6\xa7\xfe\xf9\xa6\xb3w\xf3\t?J\x06\xb4 4S\x8f''\xad\x14\x8a']\x9by\xc6\x7f\x1a1\x1f\xb7\xe6\x7f\xc2\x901\x03\x1c~ Rn>\xdf\x95!Y\x8b\xfb\xbc\xff\x00\x0f\xe6i\x85F>\xfa\x9f\xce\x8aJc\xb0\x8c\x00\xe8sE\x14P\x04\x98\xa4\xc7\xbd\x14T\x8c1\xefI\x8fz(\xa6!\x08\xa2\x8a(\x03""), PhotoSize(type='m', w=320, h=320, size=20434), PhotoSize(type='x', w=800, h=800, size=77781), PhotoSize(type='y', w=1280, h=1280, size=147296), PhotoSizeProgressive(type='w', w=2560, h=2560, sizes=[40363, 81554, 118051, 149470, 236949])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",9085.0,34.0,False,,
2686,2026-02-27 13:46:34+00:00,"Топ категорий мартовской распродажи

Близится 8 марта — уже вовсю начинают покупать подарки для мам, бабушек, жён, дочерей и коллег.

Снова подготовили шпаргалку с популярными категориями прошлогодней распродажи — изучайте, корректируйте карточки, добавляйте товары в Бестселлеры или активнее продвигайте их на Маркете другими способами.

❤️  В марте товары для красоты пользуются особой популярностью. А тариф на размещение в этой категории — сниженный:

🔹5% — FBY, FBS со средним временем отгрузки до 28 часов, Экспресс

🔹12% — FBS с отгрузкой дольше 36 часов, DBS

➡️ Вступайте в Бестселлеры

#продвижение","MessageMediaPhoto(spoiler=False, photo=Photo(id=5264974287188203146, access_hash=-5378040863318671387, file_reference=b'\x02VST\xae\x00\x00\n~i\xc2w/\x0c\xb3\xbe\x82\x1b_\x83]\x13\xf6\x8do\xe8\x15d\x8a', date=datetime.datetime(2026, 2, 27, 13, 37, 35, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01((r\x18v\x00\xeas\xea)\xd9\xb6'\xee0\xa6)\xc2\xe3y\x1e\xd8\xa3y\xc9\xf9\xcf\xe5X\\\xeeq\x1d\xba\xdf#(O\xf5\xa4\xddo\x83\x88\xceq\xfe{\xd3<\xc6\xf5\xa6\xeel\xe7&\x8b\x87(\x92m\xdevgol\xd1Hy94R)hN\xad\x85\x03{\x0f\xa0\xa3w\xfd4o\xca\x9b\xb9\x80\xc0n(\xde\xdf\xde?\x9d\x17\x15\x85\xdes\xf7\xd8\xd4d\x9cc'\x14\xb9l\xf54\x94\\i\r\xa2\x96\x8aC$\xa4\xc7\xbd\x14R\x00\xc7\xbd&=\xe8\xa2\x98\x08E\x14Q@\x1f""), PhotoSize(type='m', w=320, h=320, size=19812), PhotoSize(type='x', w=800, h=800, size=73100), PhotoSizeProgressive(type='y', w=1280, h=1280, sizes=[11852, 27847, 42643, 55380, 89174])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",8786.0,36.0,False,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👎'), count=20, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='❤'), count=17, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='🔥'), count=6, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='👏'), count=2, chosen_order=None)], min=False, can_see_list=False, reactions_as_tags=False, recent_reactions=[], top_reactors=[])",33.0
2676,2026-02-26 11:47:42+00:00,"Встречаемся на конференции «Селлеры и маркетплейсы — 2026»

Уже завтра, 27 февраля, выступим на конференции для продавцов, производителей и брендов в Москве. Директор подразделений Анна Мелихова расскажет:

🔸Как поменялись тарифы в категории красоты на Маркете
🔸В чём выгода сниженного тарифа для вас и как выстроить работу в новых условиях
🔸Какие инструменты продвижения использовать, чтобы увеличить продажи

Когда: 27 февраля в 13:45
Где: Москва, кластер «Ломоносов», зал 1
Секция: 1.5. Инсайд-сессия с маркетплейсами

🔗 Участие только офлайн, билеты по ссылке.

#мероприятия","MessageMediaPhoto(spoiler=False, photo=Photo(id=5262722487374516718, access_hash=-357167384033462282, file_reference=b""\x02VST\xae\x00\x00\nti\xc2w/m\xaf'\x8b\xf4'\xe8\x81\xdc\x0cU\xf1\xca{\x9e\xda"", date=datetime.datetime(2026, 2, 26, 11, 12, 16, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01\x14(u\xbd\xaa4jX\x03\x90\x0fA\xdf\xa7o\xadJ\xd6\xea\x14\xed\x18\xc0\xc8\xe0`\xf1T\x95\xd0F\xa4\xce\xeaq\xdb\xff\x00\xd7J$Rpn_\x1fZ\x9b\x1b\xdd\xf7\x1e-\xe7?\xc1\xfa\x8ah\x8d\xbc\xd8\xd2@p\xde\x87\xadG,\xa5W1\xdc1\xf5\x04\xd3\x98\xec\x10\xc9,\xac\xccp\xc0z\n\\\xa3sv#/\xb2wA\x9d\xbdFNh\xa2\xf2,L\x1d\x0eC\x9e\xf4Qd\xc4\xa6\xd6\x84^s*\x81\xb5\x0e\x07t\x06\x9a\xd2o#*\xbf\x80\xc7\xf2\xa2\x8a\xb1\x08\xdfJ\x9fP\x18\x16\xe3\xb0J(\xa4)lEg\xcd\xe4y\xe7\x93\xfc\xa8\xa2\x8a\x191\xd8'), PhotoSize(type='m', w=320, h=160, size=17808), PhotoSize(type='x', w=800, h=400, size=66755), PhotoSize(type='y', w=1280, h=640, size=126094), PhotoSizeProgressive(type='w', w=2560, h=1280, sizes=[33721, 71868, 100666, 135517, 214553])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",8273.0,39.0,False,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👎'), count=47, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='🔥'), count=13, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='❤'), count=9, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='👍'), count=2, chosen_order=None)], min=False, can_see_list=False, reactions_as_tags=False, recent_reactions=[], top_reactors=[])",62.0
