id,date,message,media,views,forwards,pinned,reactions,replies
2638,2026-01-29 14:59:56+00:00,"Настройте доставку «Деловыми Линиями»
🟤

Отличная новость для DBS-продавцов! Заказы теперь можно отправлять по всей России с помощью «Деловых Линий».

Компания доставляет в том числе крупногабаритные товары — грузы более 80 кг и 1 × 1 × 1 м.

⚙️ Подключите доставку в настройках склада

#логистика","MessageMediaPhoto(spoiler=False, photo=Photo(id=5465631199297474629, access_hash=519013950242922244, file_reference=b'\x02VST\xae\x00\x00\nNi\xc2w/-\xb5/\xfbP\xb2O\x85\xdd\x82h ""\xa9\r""', date=datetime.datetime(2026, 1, 29, 14, 46, 39, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01\x14(\x86\x18Q\xe0C\xe4\x96l\xf2s\xc1\xe7\xebS\x0bx\xc1\x07\xec\xad\x8f\xf7\xff\x00\xfa\xf5R+\x91\x1ca\x0c(\xd8\xee{\xd2\xb5\xca0#\xec\xf1\x8c\xd3\x01\xb7H\x82P\x89\x1e\xc2\x07#9\xa8\x88\xc0\xe9\xcd(\xfb\xa7\x8e\xb4\x84|\xa2\x90\xc6\xd1K\x82h\xa6!w\x9d\xbbx\xc6\x0fjm\x14R\x1b\x17$g\x06\x82I\xa2\x8a\x00\x01 \xd1E\x14\x01'), PhotoSize(type='m', w=320, h=160, size=12503), PhotoSize(type='x', w=800, h=400, size=44451), PhotoSizeProgressive(type='y', w=1280, h=640, sizes=[6716, 16775, 27946, 37283, 57781])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",12353.0,86.0,False,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='❤'), count=29, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='👍'), count=16, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='👎'), count=15, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='🔥'), count=10, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='😱'), count=1, chosen_order=None)], min=False, can_see_list=False, reactions_as_tags=False, recent_reactions=[], top_reactors=[])",28.0
2637,2026-01-23 10:46:19+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5445261174434893563, access_hash=-3451752844749585406, file_reference=b'\x02VST\xae\x00\x00\nMi\xc2w/\xce\xb3\xe2\xe0\x9a\xddz1\x91.u\x9c\x11\xbb\xce\xde', date=datetime.datetime(2026, 1, 22, 13, 50, 38, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01( \xd3o3\'\x19\xc7\xe1@\xf3=\xcf\xe5N={\xfe\x14\x9c\xff\x00\xb5H\xab\x89\xf3\xfb\xfe\x95""\xe4\x8eF\r \xeb\x8c\x1a\\SBl0\x0fj0\xa3\xb0\xa5\xaa\xf7D\xe5W8\x07\xad\r\xd9\x0e*\xee\xc0n\x13\x9d\xaaN*X\xd8:\x02\x063L\x94""\xc2\xdc\x01\xfe5\r\xab\xfc\xfb{\x1a\x9b\xb4\xec\xca\xb2q\xba.TsD%\x18\xe8GCE\x15M\\\x84\xed\xaa+\xfd\x9eF<\x91\x8f\xadM\x14!0OZ(\xa9QE9\xb7\xa1'), PhotoSize(type='m', w=256, h=320, size=18839), PhotoSize(type='x', w=640, h=800, size=65972), PhotoSizeProgressive(type='y', w=1024, h=1280, sizes=[9950, 25811, 39440, 52232, 87191])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",17116.0,113.0,False,,
2636,2026-01-23 10:46:19+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5445261174434893562, access_hash=98538567950319106, file_reference=b'\x02VST\xae\x00\x00\nLi\xc2w/\x0c\x18\x82^\xf5o<\x1aIu\xc2Yx\x9b~\xb1', date=datetime.datetime(2026, 1, 22, 13, 50, 37, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01( \xd3>fN3\xfaQ\x89\t\xeaG\xe5N=z\xfe\xb4\x9c\xfa\xfe\xb4\x8a\xb8\xf5\x04\x0eNij?\xc7\xf5\xa7\x8c\xe3\x9aba\x81F\x05-Ff@\xc1s\x93\xed@+\xb1\xe0R\xd0h4\x08B2\x08=\rD Up\xc3\x8cv\xa2\x8a-q\xa6\xd5\xc9\xb3\xedE\x14P#'), PhotoSize(type='m', w=256, h=320, size=18448), PhotoSize(type='x', w=640, h=800, size=69464), PhotoSizeProgressive(type='y', w=1024, h=1280, sizes=[9469, 25373, 39515, 52396, 88378])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",18475.0,110.0,False,,
2635,2026-01-23 10:46:19+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5445261174434893561, access_hash=-4217937466852242377, file_reference=b'\x02VST\xae\x00\x00\nKi\xc2w/\xb9\xca<\xd1\x95\xdb\xca4*\xd3\xd0\xe1\x1b\rH\xf2', date=datetime.datetime(2026, 1, 22, 13, 50, 36, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01( \xd1g`\xc7\r\xc7\xd4R\x82\xe7\x91\x92>\xa2\x9eUI\xfb\xa0\xd2\x8e:\x00)X\xab\x8dR\xe3\xaa\x93\xf8\x8a\x92\x9b\x93\xedJ)\xa11\x089\xa3o\xbd:\x8cq@\\n8\xebB\xb0l\xe0\xe7\x07\x14\xcb\x896&\x07S\xd2\x99j\xd9R6\xf4\xefJ\xfa\xd8|\xbe\xed\xcb\x14QEQ$S\xa9t\xc0\x00\x9ath\x11\x02\x8e\xd4QJ\xda\x8e\xfaX'), PhotoSize(type='m', w=256, h=320, size=19856), PhotoSize(type='x', w=640, h=800, size=72739), PhotoSizeProgressive(type='y', w=1024, h=1280, sizes=[9931, 26642, 41196, 54400, 91612])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",18091.0,112.0,False,,
2634,2026-01-23 10:46:19+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5445261174434893560, access_hash=1732884892337840463, file_reference=b'\x02VST\xae\x00\x00\nJi\xc2w/\x01\x12\xdc\x82\x80\x8e3O\xb2\xee\xeeY\xf5\xaa\xa4u', date=datetime.datetime(2026, 1, 22, 13, 50, 35, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01( \xd5 \xe7\xef\x91\xf8PrO\x0eG\xe1A8=)s\xec(\x18\x83 \xe7q#\xe9N\xa4\x1fJZ\x01\x88z\xd1\x83N\xa2\x80\xb8\xdeiG\xbdW\x96\xe3\x1f\xea\xc84Z\xb99\x07$u\xcd.e{\x15\xc8\xedr\xcd\x14QTAM\xed\x98}\xd3\xba\xa4\xb6F@\xdb\x863E\x15\n)2\xdc\xdbVg'), PhotoSize(type='m', w=256, h=320, size=17140), PhotoSize(type='x', w=640, h=800, size=67661), PhotoSizeProgressive(type='y', w=1024, h=1280, sizes=[9170, 24550, 37948, 50374, 85215])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",15209.0,113.0,False,,
2633,2026-01-23 10:46:19+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5445261174434893559, access_hash=368820053608682162, file_reference=b'\x02VST\xae\x00\x00\nIi\xc2w/\x94\xc8\r\x84\x7f1I\xd6)V\x87\xdcN\xb9.\xfc', date=datetime.datetime(2026, 1, 22, 13, 50, 34, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01( \xd2g \x9f\x9b\xf5\x14\x81\x8fB\xf8\xfa\x91O!w}\xd1\x93\xedK\xb0\x7fu\x7f*Ve\xdd\x02\xb0\xe9\xbc1\xa7\xd3B\x01\xd0\x0f\xca\x9dM\x12\xc61\xe7\xa1\xfd(\x18=\xc8\xa5`OO\xe7F\xd3\xeb\xfa\xd0\x000;\xd3\xa9\xbb}\xcd:\x80\n(\xa2\x98\x82\x8a(\xa0\x0f'), PhotoSize(type='m', w=256, h=320, size=16918), PhotoSize(type='x', w=640, h=800, size=65421), PhotoSizeProgressive(type='y', w=1024, h=1280, sizes=[9202, 24124, 36958, 49094, 81571])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",15079.0,112.0,False,,
2632,2026-01-23 10:46:18+00:00,"Буст показов + буст продаж = эффективная стратегия

Годовой оборот магазинов Getsy и Omni.Sale на Маркете превысил 2 миллиарда ₽ в 2025 году. Не последнюю роль в этом сыграла грамотная стратегия продвижения.

Благодаря правильной комбинации буста продаж и буста показов продавцу удаётся экономить сотни тысяч рублей на промо товаров.

Ключевые подходы и лайфхаки — в карточках, а полный текст — в нашем журнале 🔗

👆 Используйте буст показов в вашей стратегии

#продвижение","MessageMediaPhoto(spoiler=False, photo=Photo(id=5445261174434893558, access_hash=-3050451467465946611, file_reference=b'\x02VST\xae\x00\x00\nHi\xc2w/B\xad\\L*\x8a`M\xa8\xd5P\xc37D\xea\xed', date=datetime.datetime(2026, 1, 22, 13, 50, 33, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01( \xd2fp\xc7\x04\xfeT\xdd\xcf\xfd\xe3\xf9\n\x8eP\x0c\x84\x02\xbc\x9er\r$p\xef9\x1bH\x07\xde\x8b\x15\xccXL\xb0\x1f=H\xa0\x81\xc9\xcdA\x15\xb9GV\xf9r:\xd5\x8a\x04\xd9\x19Y\t\xe2L{b\x93d\xbf\xf3\xd3\xff\x00\x1d\xa9i\x18\xedR})\x05\xd9\x1bJ\x88B\xb1\xe7\x1dqOGW\xfb\xa4\x1a\xa5\xbc<\xd9\x90q\xdf\x14\xf8\xf1\xf6\x9f\xdd\xfd\xda\x9emM\x1d5b\xcf\x98|\xcd\xbb\x18\x0f\xefv\xa7:\x87R\xa7\x90h\xa2\xac\xc8\xa8-\xdf'\x80=3VbM\x88\x01\xc6{\xe2\x8a)(\xa4\\\xa4\xda\xd4""), PhotoSize(type='m', w=256, h=320, size=19251), PhotoSize(type='x', w=640, h=800, size=62666), PhotoSizeProgressive(type='y', w=1024, h=1280, sizes=[10832, 24816, 37536, 49730, 80648])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",14938.0,116.0,False,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👎'), count=102, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='❤'), count=28, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='👍'), count=11, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='🔥'), count=5, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='🎄'), count=2, chosen_order=None)], min=False, can_see_list=False, reactions_as_tags=False, recent_reactions=[], top_reactors=[])",164.0
2631,2026-01-21 12:10:22+00:00,"🌩 Переходим к литрам в тарифе средней мили и увеличиваем срок льготного хранения с 1 февраля

С 1 февраля 2026 года тариф средней мили для FBY и FBS начнём рассчитывать по объёму товара в литрах. За счёт этого в части категорий изменятся расходы на логистику — выравниваем в них стоимость размещения.

Также увеличим срок хранения без отдельной платы на складах для всех товаров с оборачиваемостью до 365 дней и продолжим давать скидки за быстрые FBS-отгрузки.

FBY, FBS: литры в тарифе средней мили

С 1 февраля стоимость доставки в населённый пункт покупателя будет зависеть от объёма товара в литрах, а не от килограммов веса или массы. Тарифная сетка станет проще — оставляем три порога, а минимальная стоимость составит 70 ₽ вместо 100 ₽.

Выравниваем тариф на размещение

Чтобы новый расчёт стоимости средней мили не сильно сказался на ваших расходах, обновим тариф на размещение товаров — только в категориях с существенным ростом или снижением затрат на логистику с 1 февраля. Скачать все тарифы

В товарах для красоты условия не меняются: сниженный тариф 5% и 12% на размещение и максимальный контроль над ценой — для всех моделей до конца 2026 года

FBY: хранение товаров с оборачиваемостью до 365 дней без отдельной платы

С 1 февраля вы можете дольше экономить на хранении товаров всех категорий на наших складах. Если оборачиваемость товара до 365 дней, вы отдельно не платите за его хранение. Упростим и сам тариф — оставляем только две ступени оборачиваемости: до 365 дней и от 365 дней.

Специальные условия хранения для новых товаров продолжат действовать и не изменятся. Мы не берём отдельную плату за хранение, если вы впервые привозите на склад следующие категории товаров или не хранили их непрерывно на наших складах 30 дней и возобновляете поставки:

♦️ одежда, обувь и аксессуары: в течение 180 дней

♦️ крупногабаритные товары тяжелее 25 кг или с суммой сторон больше 200 см: в течение 30 дней

♦️ остальные категории: в течение 90 дней

▶️ Читать подробнее

#договор",,21343.0,712.0,False,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👎'), count=74, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='❤'), count=38, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='👍'), count=23, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='🔥'), count=9, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='👏'), count=2, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='😱'), count=2, chosen_order=None)], min=False, can_see_list=False, reactions_as_tags=False, recent_reactions=[], top_reactors=[])",198.0
2630,2026-01-20 13:48:47+00:00,"Награды в отзывах за баллы удвоятся

До 13 апреля награды покупателям удвоятся — на это вам доступно до 10 000 ₽ за все кампании по сбору отзывов. Это позволит быстрее и выгоднее получить мнения о товарах, чтобы вырастить продажи.

Если награда составляет до 300 баллов, она удвоится. Если больше — увеличится на 300 баллов. Покажем бейдж с отзывами за баллы всем покупателям — если у кого-то нет подписки Яндекс Плюс, предложим подключить её.

Как воспользоваться

🔸 Создайте кампанию и укажите, сколько отзывов хотите собрать для каждого товара — от 10 до 1000. Подробнее

🔸 Выберите, какую награду покупатели получат за отзыв: 1 балл = 1 ₽.

➡️ Создать кампанию

Отзывы читают 70% покупателей

По нашей статистике, первые 10 отзывов растят продажи на 10%. А с баллами конверсия в отзыв в среднем в 3 раза выше, чем без них.

#продвижение","MessageMediaPhoto(spoiler=False, photo=Photo(id=5438441904535178731, access_hash=2895362143824824981, file_reference=b'\x02VST\xae\x00\x00\nFi\xc2w/\xc1\xb2\xd5\xe6(\x13\x98\x1bD\xa4\xdd\xb7J@\xae\x92', date=datetime.datetime(2026, 1, 20, 7, 34, 4, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01\x14(\x86\x08\xa1x\x90\xb2\xa6z\x9c\xb9\x19\x14\x97PD\xb1\x86\x8fj\x91\xd4o\xc94\xd8n\xfc\xb8\x82\xf3\x91\x91\xd0w\xa4\xb8\xba3\xa0S\x9e\x0eG\x02\x8b\x8e\xc2\xd8\xc7\x1c\x92\x1f3\x9ct\x06\xa4\xbb\xb1+\x97\x88q\xdd})\xb6.\xa02\x95\xf7\xddW\xd5\xb1\xc1\xe4T6\xd34QN&%\x15f\xfd6\xcf\xb8.\xd0h\xabN\xe6mY\xd8\xaf\xbd\xbe\xef\x18\xe9\xd2\x92\x8a)\x81,\x13\xbc/\x94\xc7>\xa2\xb4\x83\x1d\x81\xbb\xd1Eg#Z{\x10_\xf3\x00>\xff\x00\xe3E\x14S\x8e\xc6u7?'), PhotoSize(type='m', w=320, h=160, size=14275), PhotoSize(type='x', w=800, h=400, size=46612), PhotoSizeProgressive(type='y', w=1280, h=640, sizes=[8125, 18791, 28294, 37657, 58454])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",12035.0,116.0,False,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='❤'), count=29, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='🔥'), count=14, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='👍'), count=11, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='👎'), count=9, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='👏'), count=3, chosen_order=None)], min=False, can_see_list=False, reactions_as_tags=False, recent_reactions=[], top_reactors=[])",40.0
2629,2026-01-15 13:17:20+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5312399586653572370, access_hash=-3166790764279818223, file_reference=b'\x02VST\xae\x00\x00\nEi\xc2w/\x95\xd0-\x85\x1e\xebC\xd4\x19\xa8\xdf\xc1\xbf,*\xa6', date=datetime.datetime(2025, 12, 8, 9, 30, 21, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01( e\xbcv\xef\x08,\x91d\x0e\xf2\x10I\xa8\xe5x#\xda\xa2\x04l\xe0\xe5_9\xa8\x90\xb8Q\x83\xfaR\x97p0Xc\xe9F\xa3\xd0\xafEO\xe66~\xf8\xfc\x85G!,rH\xf4\xe2\x80\xd0tpM(\xccq\xb3\x01\xc6@\xa7}\x8e\xe7\xfex\xc9\xf9T\xd6\xb7Q\xc7\n#\x87\xca\xc9\xbc\x15\xefV\xce\xabo\x9c\xf9R~B\x81\x19\xff\x00b\xb9'\x1eK\x0f\xaf\x14\xd9-'\x89K<d(\xeakLj\xd0\x0e\x918\xfc\xaa\xbd\xf6\xa0\x970\x08\xd1Xs\x92M\x00gR\xe6\x8a)\x80\x1e\xb4QE\x00\x7f""), PhotoSize(type='m', w=256, h=320, size=17517), PhotoSize(type='x', w=640, h=800, size=59410), PhotoSizeProgressive(type='y', w=1024, h=1280, sizes=[9674, 22834, 38787, 53865, 83002])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",13419.0,35.0,False,,
