id,date,message,views,forwards,pinned,media,reactions,replies
341751,2026-02-28 23:41:51+00:00,"Вы можете установить порог суммы возврата как для брака, так и товаров надлежащего качества. Для товаров ниже заданной суммы одобрение будет автоматическим, а для товаров с ценой выше указанного порога - решение останется за вами.

Сделать это можно в личном кабинете в разделе ""Заказы"" → ""Возвраты и невыкупы"" или в блоке ""Настройки невыкупов и возвратов"" в настройках склада.

Подробнее написали для вас в Справке.

Также отметим, что в некоторых случаях Маркет может самостоятельно принимать решение по возвратам покупателей. Однако, если после того, как Маркет вернул деньги покупателю, а потом вы обнаружили, что с товаром что-то не так, вы можете подать претензию",,,False,"MessageMediaWebPage(webpage=WebPage(id=8953082221170082969, url='https://yandex.ru/support/marketplace/ru/orders/returns/decision', display_url='yandex.ru/support/marketplace/ru/orders/returns', hash=0, has_large_media=False, video_cover_photo=False, type='article', site_name='yandex.ru', title='Невыкупы и возвраты |', description='Что такое невыкупы и какие бывают возвраты. Как работать с возвратами и невыкупами по модели FBY. Как работать с возвратами и невыкупами по модели FBS.', photo=None, embed_url=None, embed_type=None, embed_width=None, embed_height=None, duration=None, author=None, document=None, cached_page=None, attributes=[]), force_large_media=False, force_small_media=False, manual=False, safe=False)",,
341750,2026-02-28 23:36:45+00:00,"В личном кабинете написано, что решения по этим товарам принимаю я. Почему заявки продолжают одобряться автоматически?",,,False,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5269642104890134609, access_hash=5738311502151579894, file_reference=b'\x02~\xc0\xb8\\\x00\x056\xf6i\xc2rf$P\x9f=t\xcc\x17\xa1\x03D\x18q\xeb\x1c\x9d\xb8', date=datetime.datetime(2026, 2, 28, 23, 36, 45, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01\x1e(\xd69\xcfzQ\xf54e\x8fa\xf9\xd1\xf3z\x0f\xce\x80\x14\x9cu4\x02=i\xa7w\xa0\xfc\xff\x00\xfa\xd4\xbf7\xb7\xe7@\x0e\xc8\xa2\x9a7w\xc7\xe7E\x00!^z\xe2\x97h\xf5\xa6oPpwu\xf5\xa3z\xff\x00\xb5\xf9\xd2\x1e\xa3\xc8\x03\xff\x00\xd7I\xf9~t\xdd\xeb\xfe\xd7\xe7F\xf5\xf4o\xce\x80\xb3\x1e:\xd1MWR\xd8\x19\xa2\x98\x8f'), PhotoSize(type='m', w=320, h=237, size=14505), PhotoSize(type='x', w=800, h=592, size=56564), PhotoSizeProgressive(type='y', w=811, h=600, sizes=[4833, 13098, 27278, 37421, 53007])], dc_id=2, has_stickers=False, video_sizes=[]), ttl_seconds=None)",,
341749,2026-02-28 23:29:39+00:00,"Какие пороги нужно установить, чтобы все решения принимать самостоятельно?",,,False,,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👀'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=5881371972), date=datetime.datetime(2026, 2, 28, 23, 30, 5, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👀'), big=False, unread=False, my=False)], top_reactors=[])",
341748,2026-02-28 23:26:50+00:00,"Здравствуйте!

Мы одобряем некоторые возвраты автоматически, чтобы отрегулировать входящий поток и снизить нагрузку на вас, поэтому возврат № 25560632 был одобрен автоматически.

Вы можете настроить пороги, чтобы самостоятельно рассматривать возвраты от определенной стоимости. Для этого на странице ""Заказы"" → ""Возвраты и невыкупы"" передайте нам пороги, до которых мы можем провести автоматический возврат.

Отметим, что мы постепенно увеличиваем количество заявок на обработку, и со временем у вас появятся ещё больше критериев для решений по возвратам.

Сейчас, если возврат был одобрен без вашего участия, а впоследствии вы обнаружили проблему с товаром, вы можете подать претензию ✍",,,False,,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='😁'), count=3, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='😭'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=1668862456), date=datetime.datetime(2026, 3, 2, 6, 19, 10, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='😁'), big=False, unread=False, my=False), MessagePeerReaction(peer_id=PeerUser(user_id=7570757869), date=datetime.datetime(2026, 3, 2, 3, 41, 32, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='😁'), big=False, unread=False, my=False), MessagePeerReaction(peer_id=PeerUser(user_id=1068597900), date=datetime.datetime(2026, 3, 1, 11, 27, 7, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='😁'), big=False, unread=False, my=False)], top_reactors=[])",
341745,2026-02-28 23:07:58+00:00,Добрый день! На каком основании автоматически одобрен Возврат № 25560632 после недельного использования? В личном кабинете настройки автоодобрения отключены.,,,False,,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👀'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=5881371972), date=datetime.datetime(2026, 2, 28, 23, 8, 20, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👀'), big=False, unread=False, my=False)], top_reactors=[])",6.0
341728,2026-02-28 20:08:03+00:00,"Здравствуйте!

Мы не можем подключить несовершеннолетние лица, поскольку на Маркете можно размещаться только с 18 лет.

Подробнее о том, кто может продавать на Маркете, написали для вас в Справке",,,False,"MessageMediaWebPage(webpage=WebPage(id=8953082221853920375, url='https://yandex.ru/support/marketplace/ru/introduction/partners', display_url='yandex.ru/support/marketplace/ru/introduction/partners', hash=0, has_large_media=False, video_cover_photo=False, type='article', site_name='yandex.ru', title='Кто может продавать на Маркете |', description='На Яндекс Маркете могут работать: юридические лица; индивидуальные предприниматели; самозанятые. Подойдет и общая, и упрощенная система налогообложения.', photo=None, embed_url=None, embed_type=None, embed_width=None, embed_height=None, duration=None, author=None, document=None, cached_page=None, attributes=[]), force_large_media=False, force_small_media=False, manual=False, safe=False)",,
341723,2026-02-28 19:59:44+00:00,Возможно ли открыть магазин с 16 лет?,,,False,,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👀'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=5881371972), date=datetime.datetime(2026, 2, 28, 20, 0, 20, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👀'), big=False, unread=False, my=False)], top_reactors=[])",6.0
341720,2026-02-28 19:22:51+00:00,Друзья подскажите пожалуйста  с кем можно связаться по поводу банерной рекламы в соц сетях ?,,,False,,"MessageReactions(results=[], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[], top_reactors=[])",
341719,2026-02-28 19:21:48+00:00,"Т е покупатель не выходит на связь, не прикрепляются доп фото и ваш арбитр принимает решение вернуть деньги. Барахолку устроили у себя на маркете.",,,False,,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👍'), count=2, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=1668862456), date=datetime.datetime(2026, 3, 2, 6, 18, 43, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👍'), big=False, unread=False, my=False), MessagePeerReaction(peer_id=PeerUser(user_id=7570757869), date=datetime.datetime(2026, 3, 2, 3, 40, 47, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👍'), big=False, unread=False, my=False)], top_reactors=[])",
341718,2026-02-28 19:13:55+00:00,"Всё проверили, арбитр рассмотрел обращение по возврату № 25530631 и в этом споре принял решение вернуть покупателю деньги за товар. 

Если вы не согласны с решением по возврату, вы можете оформить претензию, чтобы оспорить возврат по инструкции.

Отправьте заявление и документы через раздел ""Общение"" → ""Поддержка"" в личном кабинете. Срок подачи претензии - 30 дней с момента, когда возврат придёт на склад, в сортировочный центр или пункт выдачи заказов",,,False,"MessageMediaWebPage(webpage=WebPage(id=8953082221402919898, url='https://yandex.ru/support/marketplace/ru/communication/claims', display_url='yandex.ru/support/marketplace/ru/communication/claims', hash=0, has_large_media=False, video_cover_photo=False, type='article', site_name='yandex.ru', title='Подать претензию |', description='Кто может подать претензию. Только владелец кабинета или бизнеса. У сотрудников с другими ролями такой возможности нет. Какие бывают роли.', photo=None, embed_url=None, embed_type=None, embed_width=None, embed_height=None, duration=None, author=None, document=None, cached_page=None, attributes=[]), force_large_media=False, force_small_media=False, manual=False, safe=False)","MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='😁'), count=2, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=1668862456), date=datetime.datetime(2026, 3, 2, 6, 18, 34, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='😁'), big=False, unread=False, my=False), MessagePeerReaction(peer_id=PeerUser(user_id=7570757869), date=datetime.datetime(2026, 3, 2, 3, 40, 36, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='😁'), big=False, unread=False, my=False)], top_reactors=[])",
