id,date,message,views,forwards,pinned,media,reactions,replies
322887,2026-01-31 23:35:05+00:00,Че по ценам Друзья. На сколько % подняли  цены. У меня ужас,,,False,,,1.0
322872,2026-01-31 22:39:36+00:00,"Здравствуйте, Нахид!

Видим ваше обращение в личных сообщениях, сейчас ответим вам там 👌",,,False,,,
322870,2026-01-31 22:38:44+00:00,"ну вы же наверняка догадались
конечно по повышенной",,,False,,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='🔥'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=5157186429), date=datetime.datetime(2026, 2, 1, 9, 5, 28, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='🔥'), big=False, unread=False, my=False)], top_reactors=[])",
322867,2026-01-31 22:32:33+00:00,"Заказ который был сделан до повышения комиссии , но доедет после повышения комиссии. По каким условиям спишут комиссию  у меня?",,,False,,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👀'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=5881371972), date=datetime.datetime(2026, 1, 31, 22, 39, 5, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👀'), big=False, unread=False, my=False)], top_reactors=[])",3.0
322866,2026-01-31 22:25:51+00:00,"он отменил его,по причине переноса доставки с вашей стороны! Доставка была обозначена вами сначала 27 числа,после вами перенесена на 31 и сегодня перенесена снова!Что ты мне тут накидываешь то? Отсюда вопрос,денег вам за что? За то что вы свои обязательства по доставке не выполнили?",,,False,,,
322859,2026-01-31 22:05:40+00:00,"Здравствуйте!

Видим, что заказ № 53417363521 был отменён по инициативе покупателя, поскольку ему не подошли условия доставки. Клиент самостоятельно принял решение об отмене и обозначил это как причину.

Хотим отметить, что клиент имеет право отказаться от покупки на любом этапе оформления, и в таком случае товар возвращается к вам как невыкуп. Подробная информация доступна в Справке.

Если покупатель не забрал заказ, мы удерживаем средства только за те услуги, которые были оказаны, а именно:

- ""Приём платежа"" после оплаты;
- ""Обработка заказа"" после передачи в доставку;
- Обработка возвратов - 15 рублей за отправление;
- Возврат заказа FBY на склад и FBS/DBS через пункт выдачи Маркета - по действующим тарифам.

Детали удержаний можно проверить в отчёте ""Стоимость услуг"".

Бот может удалять сообщения, если ему кажется, что они нарушают правила чата. К сожалению, иногда это происходит по ошибке — мы продолжаем улучшать его работу, чтобы таких ситуаций было меньше.

Если вдруг он ошибочно ограничит вам доступ, напишите нам в личные сообщения — быстро всё восстановим и поправим 🙏",,,False,"MessageMediaWebPage(webpage=WebPage(id=8953082220755031485, url='https://yandex.ru/support/marketplace/ru/orders/returns/buyer-s-rights', display_url='yandex.ru/support/marketplace/ru/orders/returns/buyer-s-rights', hash=0, has_large_media=False, video_cover_photo=False, type='article', site_name='yandex.ru', title='Какие товары возвращаются продавцам |', description='Невыкуп. Возврат. Товар, который покупатель не стал забирать: отменил заказ в личном кабинете, отказался от товара в ПВЗ или когда приехал курьер,', photo=None, embed_url=None, embed_type=None, embed_width=None, embed_height=None, duration=None, author=None, document=None, cached_page=None, attributes=[]), force_large_media=False, force_small_media=False, manual=False, safe=False)","MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👍'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=927504468), date=datetime.datetime(2026, 2, 1, 7, 50, 4, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👍'), big=False, unread=False, my=False)], top_reactors=[])",
322858,2026-01-31 22:05:36+00:00,Кристина молодец 😬,,,False,,,
322851,2026-01-31 21:38:39+00:00,"@YandexMarketSupportBot Вы переносили сроки доставки покупателю 53417363521,от чего он отменил заказ! Поясните за что вам платить комиссии за этот заказ? Если вы не выполнили условия договора-оферты",,,False,,,0.0
322850,2026-01-31 21:37:12+00:00,@YandexMarketSupportBot А что именно не устроило вашего бота в нашем вопросе?,,,False,,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👀'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=5881371972), date=datetime.datetime(2026, 1, 31, 21, 38, 2, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👀'), big=False, unread=False, my=False)], top_reactors=[])",2.0
322835,2026-01-31 20:41:59+00:00,"Да там полный треш. Баллы, комиссия, логистика, налоги, упаковка. Половину товаров снял с магазина. Теперь остатки убираю. При наценке 450% только в 0 выходу. Товар не дешёвый.",,,False,,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👍'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=1074210798), date=datetime.datetime(2026, 1, 31, 20, 51, 58, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👍'), big=False, unread=False, my=False)], top_reactors=[])",0.0
