id,date,message,views,forwards,pinned,media,reactions,replies
354530,2026-04-01 04:17:20+00:00,Списывает. Это не миф. Если не хватает им они доберут рублями. Если будет излишек то выпишут вам как премия.,,,False,,,
354529,2026-04-01 03:50:27+00:00,"Здравствуйте, Виктор!

При взаимозачёте баллы Маркета автоматически уменьшают стоимость услуг размещения и продвижения, так чтобы стоимость услуги составила до 1% от суммы, но не менее 1 рубля за товар. Остаток неиспользованных баллов выплачивается вам в следующем месяце как премия по договору на размещение. Если баллов не хватает для покрытия услуг, разница списывается рублями.

Проверить списания баллов можно в самом заказе в разделе ""Начисления и услуги"", а также на странице ""Баллы Маркета"" либо в соответствующем отчёте ""По баллам"".

Уточним, что баллы в системе Маркета (1 балл = 1 рубль) начисляются как разница между ценой продажи на маркетплейсе и вашей установленной ценой, а также учитываются в составе вашей выручки",,,False,"MessageMediaWebPage(webpage=WebPage(id=8953082220474673235, url='https://yandex.ru/support/marketplace/ru/accounting/market-points', display_url='yandex.ru/support/marketplace/ru/accounting/market-points', hash=0, has_large_media=False, video_cover_photo=False, type='article', site_name='yandex.ru', title='Баллы Маркета |', description='Чтобы сделать ваши товары еще более привлекательными и повысить лояльность покупателей, Маркет может проводить акции совместно с продавцами. Если товар купят со', photo=None, embed_url=None, embed_type=None, embed_width=None, embed_height=None, duration=None, author=None, document=None, cached_page=None, attributes=[]), force_large_media=False, force_small_media=False, manual=False, safe=False)",,
354528,2026-04-01 03:41:41+00:00,"Всем привет, народ на ям баллы которые продавцу в конце месяца за скидки они реально списываются за услуги или это миф и пыль в глаза?",,,False,,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👀'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=5881371972), date=datetime.datetime(2026, 4, 1, 3, 45, 41, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👀'), big=False, unread=False, my=False)], top_reactors=[])",2.0
354525,2026-03-31 22:54:14+00:00,Ну кайф,,,False,,,
354524,2026-03-31 22:47:53+00:00,"Через браузер смотри, там уже коректно все",,,False,,,
354523,2026-03-31 22:45:41+00:00,"У меня в ЛК тоже самое. Но я думаю , когда этот товар доставится, то в отчетах уже будет другая комиссия.",,,False,,,
354519,2026-03-31 21:30:01+00:00,"Здравствуйте!

Уточняем информацию о времени изменения тарифов на новые, как только появятся новости - сразу придём к вам с ответом, а также обновится информация в личном кабинете ✍",,,False,,,
354518,2026-03-31 21:21:54+00:00,"Когда вступят в силу новые комиссии до 300 руб , щас ставил цену 299 а комиссия 245 руб , так и должнбыть ?",,,False,,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👀'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=5881371972), date=datetime.datetime(2026, 3, 31, 21, 22, 59, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👀'), big=False, unread=False, my=False)], top_reactors=[])",
354517,2026-03-31 21:10:25+00:00,"Здравствуйте!

Уточним информацию о том, когда обновится тариф в калькуляторе маржинальности, с новостями вернёмся к вам в этот чат.

Да, фиксированный тариф на размещение и доставку применится для всех товаров стоимостью до 300 рублей включительно и объёмом до 5 литров, то есть для товаров стоимостью 299 рублей тариф также применится 👌",,,False,,,
354516,2026-03-31 21:03:49+00:00,"@YandexMarketSupportBot, подскажите пожалуйста когда обновится тариф 35% в калькуляторе маржинальности?
И с суммой в 299 р, этот тариф применяется?",,,False,,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👀'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=5881371972), date=datetime.datetime(2026, 3, 31, 21, 4, 29, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👀'), big=False, unread=False, my=False)], top_reactors=[])",8.0
