,date,message,replies,media_available,reactions_total
0,2025-12-01 20:03:57+00:00,До этого все было отлично,0.0,False,0
1,2025-12-01 20:02:15+00:00,"Я тоже вывожу,  в минусе пятый месяц (((",,False,0
2,2025-12-01 19:40:21+00:00,Так у меня норм цены дело в покупателе,,False,0
3,2025-12-01 19:36:44+00:00,"Это понятно,  но нужно как то подстраиваться в любом случае под те правила и рамки в которые они нас ставят, меня бы жаба задушила им делать такие подарки!😄",,False,0
4,2025-12-01 19:35:37+00:00,"Я кстати вывожу свои коробочки на днях,так что смело размещайте свой ходовой товар. Ни в чем себе не отказывайте.",,False,0
5,2025-12-01 19:33:02+00:00,"Они там просто с ума сошли в край с ценниками на хранение. Хочется конечно написать не ""с ума сошли"", а правду, но за нецензурную лексику забанят.",,False,0
6,2025-12-01 19:30:58+00:00,"Зачем набивать их склады что бы потом платить по 195 в месяц? Вы разве не рассчитываете примерную оборачиваемость товара и не делаете допоставки по мере уменьшения товара?
Из за вашего неходового товара который лежит на складах мы свой не может в слот записать!😁",,False,2
7,2025-12-01 19:27:01+00:00,Как так? таблица с аналитиков по продажам показывает комиссию с всеми услугами 49% а по факту 80😭,0.0,False,0
8,2025-12-01 19:24:59+00:00,Хотите конкурировать с самим озоном по продаже айфонов? Удачи.,,False,0
9,2025-12-01 19:24:58+00:00,У многих уже под 80🥺,,False,0
10,2025-12-01 19:23:23+00:00,"У меня на озоне хранение 195000 в месяц. Продаж также ноль как и везде. Даже вбэшники жалуются что так называемый горячий сезон вовсе не такой уж и горячий в этом году. Комиссии абсолютно везде сейчас конские, можете не искать))",,False,0
11,2025-12-01 19:23:00+00:00,На что же,,False,0
12,2025-12-01 19:22:20+00:00,"Я не понимаю на что рассчитывали повышая комиссии, убивая свое единственное конкурентное преимущество 🤩",,False,0
13,2025-12-01 19:21:43+00:00,У меня у одного в магазине уже три месяца комиссия за все услуги более 70% или есть ещё такие как я?,1.0,False,0
14,2025-12-01 19:21:25+00:00,А кто знает как на озон с айфонами зайти ? Вы вообще видели этот квест попасть на озон с Электронникой ?,2.0,False,0
15,2025-12-01 19:20:17+00:00,"Не то что не конкурентен , Яндекс вообще умер как маркетплейс",,False,0
16,2025-12-01 19:19:07+00:00,"Да , это если возвратов еще не будет",,False,0
17,2025-12-01 19:18:42+00:00,"Ешкин кот, платное хранение 2800🫣",,False,0
18,2025-12-01 19:17:42+00:00,Все именно так.,,False,0
19,2025-12-01 19:17:12+00:00,"Ну что затраты выше, чем продажи",,False,0
20,2025-12-01 19:17:03+00:00,Че за товар ? Какая цена ?,,False,0
21,2025-12-01 19:16:21+00:00,Без нее боты Яндексе не могут делать заказы кстати поэтому селлеры массово вырубают постоплату,,False,0
22,2025-12-01 19:16:11+00:00,Маржинальность где-то надо от 25% в среднем должно показывать 35%,7.0,False,0
